date,year,open,high,low,ets_price,volume,sp500_close,carbon_index,coal_price,stoxx50,close_ma5,volume_ma5,close_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,high_close_ratio,low_close_ratio
2021-01-04,2021,33.25,34.04,33.25,33.58,241,3700.65,0.012048193,69.3,3551,32.886,436.2,0.021103205,32.104,397.8,0.045975579,31.393,7540.7,0.069665212,27.77466667,18695.93333,0.20901541,-0.987109496,27.4235,10909.275,0.224497238,-0.977908706,0.01369863,-0.009827278
2021-01-05,2021,33.44,33.44,32.65,32.87,329,3726.86,-0.03030303,64.9,3527,32.802,373.2,0.002073044,32.295,382.2,0.017804614,31.531,6028,0.042466144,27.894,18298.76667,0.178389618,-0.982020646,27.46616667,10911.49167,0.196745086,-0.969848302,0.01734104,-0.006693033
2021-01-06,2021,33.12,33.59,32.9,33.53,547,3748.14,0.045454545,64.25,3606,32.93,290,0.018220468,32.571,388.1,0.02944337,31.7265,5080.45,0.056845224,28.02166667,18003,0.19657408,-0.969616175,27.52808333,10915.00833,0.218028861,-0.949885517,0.001789442,-0.018789144
2021-01-07,2021,33.87,34.73,33.87,34.66,154,3803.79,0.03125,66.6,3615,33.446,275,0.036297315,32.934,359.2,0.052407846,31.981,4012.9,0.083768488,28.179,17658.58333,0.229993967,-0.991279029,27.59566667,10916.25833,0.255994299,-0.985892602,0.002019619,-0.022792845
2021-01-08,2021,35,35,34.41,34.82,293,3824.68,0.01459854,68.5,3622,33.892,312.8,0.027381093,33.237,367.6,0.047627644,32.237,2453.1,0.080125322,28.33016667,17354.61667,0.229078544,-0.983116884,27.66441667,10918.56667,0.258656577,-0.973164976,0.005169443,-0.011774842
2021-01-11,2021,35.06,35.06,34.06,34.43,88,3799.61,0,68.5,3608,34.062,282.2,0.010803828,33.474,359.2,0.028559479,32.4135,1217.7,0.062211733,28.488,16849.31667,0.208579051,-0.994777236,27.72408333,10919.25833,0.241880555,-0.991940845,0.018297996,-0.010746442
2021-01-12,2021,34.24,35.1,34.2,34.56,450,3801.19,0.133333333,70.5,3600,34.4,306.4,0.004651163,33.601,339.8,0.028540817,32.6155,516.9,0.059618893,28.64916667,16545.96667,0.20631781,-0.97280304,27.79283333,10922.90833,0.243486031,-0.958802181,0.015625,-0.010416667
2021-01-13,2021,34.18,34.31,33.02,33.55,623,3809.84,-0.011363636,70.15,3606,34.404,321.6,-0.024822695,33.667,305.8,-0.003475213,32.75,452.35,0.024427481,28.792,16221.28333,0.165254237,-0.961593668,27.8645,10927.93333,0.204040984,-0.942990135,0.022652757,-0.015797317
2021-01-14,2021,33.35,33.72,32.76,33.43,229,3795.54,0.03125,69.9,3629,34.158,336.6,-0.021312723,33.802,305.8,-0.011005266,32.819,419.25,0.018617264,28.94233333,15789.68333,0.155055455,-0.985496859,27.929,10929.75,0.196963729,-0.979048011,0.008674843,-0.020041879
2021-01-15,2021,33.19,33.19,31.62,31.65,418,3768.25,0.009174312,68.6,3585,33.524,361.6,-0.055900251,33.708,337.2,-0.061053756,32.8185,385.55,-0.035604918,29.07716667,15254.56667,0.088482945,-0.972598369,27.97491667,10932.63333,0.131370662,-0.961765845,0.048657188,-0.000947867
2021-01-18,2021,31.53,32.08,31.28,31.54,146,2750.706582,-0.045454545,67.25,3591,32.946,373.2,-0.042675894,33.504,327.7,-0.058619866,32.804,362.75,-0.038531886,29.19983333,14858,0.080143152,-0.990173644,28.02525,10933.78333,0.125413689,-0.986646891,0.017121116,-0.0082435
2021-01-19,2021,31.84,33.03,31.76,33,1269,3798.91,0.014492754,67.5,3587,32.634,537,0.011215297,33.517,421.7,-0.015425008,32.906,401.95,0.002856622,29.325,14455.83333,0.125319693,-0.912215369,28.08166667,10944.31667,0.175143925,-0.884049408,0.000909091,-0.037575758
2021-01-20,2021,33.22,33.55,32.79,32.82,1102,3851.85,-0.038961039,67.5,3612,32.488,632.8,0.010219158,33.446,477.2,-0.018716737,33.0085,432.65,-0.00571065,29.4745,14119.13333,0.113504894,-0.921949884,28.13791667,10953.39167,0.166397654,-0.899391893,0.022242535,-0.000914077
2021-01-21,2021,32.83,34.07,32.71,34.03,116,3853.07,0.023255814,67.55,3617,32.608,610.2,0.04360893,33.383,473.4,0.019381122,33.1585,416.3,0.026282854,29.6405,13735.26667,0.148091294,-0.991554587,28.19833333,10954.3,0.206808913,-0.989410551,0.001175433,-0.038789304
2021-01-22,2021,34.07,34.08,33.55,34.17,267,3841.47,0,67.5,3588,33.112,580,0.031952162,33.318,470.8,0.025571763,33.2775,419.2,0.026819923,29.82616667,13218.35,0.145638338,-0.979800807,28.26033333,10956.46667,0.20911525,-0.97563083,-0.002633889,-0.018144571
2021-01-25,2021,34.46,34.53,33.05,33.1,1486,3855.36,-0.031914894,67.45,3540,33.424,848,-0.009693633,33.185,610.6,-0.002561398,33.3295,484.9,-0.006885792,29.98333333,12827.11667,0.103946637,-0.884151673,28.31658333,10968.75,0.168926336,-0.864524217,0.043202417,-0.001510574
2021-01-26,2021,33,33.32,32.8,33.29,316,3849.62,0.056074766,67.65,3589,33.482,657.4,-0.005734424,33.058,597.2,0.007017968,33.3295,468.5,-0.001185136,30.143,12493.2,0.104402349,-0.97470624,28.37416667,10971.20833,0.173250316,-0.971197338,0.000901172,-0.014719135
2021-01-27,2021,33.25,33.25,32.2,33.22,89,3750.77,0.04,67.7,3532,33.562,454.8,-0.010190096,33.025,543.8,0.005904618,33.346,424.8,-0.003778564,30.30216667,12127.53333,0.096291244,-0.992661327,28.42866667,10971.90833,0.168538799,-0.991888376,0.00090307,-0.030704395
2021-01-28,2021,33.37,33.73,32.99,33.89,41,3787.38,0.051282051,67.8,3548,33.534,439.8,0.010616091,33.071,525,0.0247649,33.4365,415.4,0.013563022,30.4605,11737.25,0.112588434,-0.996506848,28.49308333,10972.2,0.189411465,-0.996263284,-0.004721157,-0.026556506
2021-01-29,2021,33.43,33.56,32.87,32.89,87,3714.24,0,67.8,3478,33.278,403.8,-0.011659355,33.195,491.9,-0.009188131,33.4515,414.55,-0.016785495,30.59016667,11360.56667,0.075182112,-0.992341931,28.551,10972.79167,0.151973661,-0.992071298,0.020370933,-0.000608088
2021-02-01,2021,32.8,33.15,32.6,32.81,627,3773.86,-0.019607843,65.6,3525,33.22,232,-0.012341963,33.322,540,-0.015365224,33.413,433.85,-0.018046868,30.704,10951.6,0.068590412,-0.942748092,28.61275,10977.95833,0.146691597,-0.942885555,0.010362694,-0.006400488
2021-02-02,2021,33.04,35.07,32.99,34.93,368,3826.31,0.015748031,65.4,3581,33.548,242.4,0.041194706,33.515,449.9,0.042219902,33.516,435.8,0.042188805,30.8625,10576.6,0.131794249,-0.96520621,28.69183333,10980.95833,0.217419591,-0.966487442,0.004008016,-0.055539651
