date,year,open,high,low,ets_price,volume,sp500_close,carbon_index,coal_price,stoxx50,close_ma5,volume_ma5,close_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,high_close_ratio,low_close_ratio
2018-01-02,2018,7.91,8.01,7.75,7.78,60,2695.81,-0.059701493,96.65,3473,8.082,223,-0.037366988,7.929,883.5,-0.018791777,7.5855,7660.1,0.025641026,7.53,10211.53333,0.033200531,-0.994124291,6.8085,6236.05,0.142689285,-0.990378525,0.029562982,-0.003856041
2018-01-03,2018,7.79,7.9,7.77,7.81,180,2713.06,0.01754386,96.45,3501,8.012,259,-0.025212182,7.969,728.1,-0.019952315,7.5985,7090.25,0.027834441,7.544166667,10062.48333,0.035236938,-0.982111772,6.828333333,6237.55,0.14376373,-0.971142516,0.011523688,-0.005121639
2018-01-04,2018,7.76,7.8,7.74,7.75,205,2723.99,-0.064516129,96.15,3556,7.934,212,-0.023191328,7.992,737.4,-0.03028028,7.6145,6621.85,0.017794996,7.550166667,9854.383333,0.026467407,-0.979197075,6.8475,6239.258333,0.131799927,-0.967143531,0.006451613,-0.001290323
2018-01-05,2018,7.72,7.77,7.72,7.76,14,2743.15,-0.008264463,96.25,3594,7.85,156.8,-0.011464968,7.989,209.3,-0.028664414,7.639,6035,0.01583977,7.5565,9753.5,0.026930457,-0.998564618,6.867333333,6239.375,0.12998738,-0.997756186,0.00128866,-0.005154639
2018-01-08,2018,7.82,7.82,7.62,7.64,242,2747.71,-0.051948052,96.45,3606,7.748,140.2,-0.013939081,7.953,191.1,-0.039356218,7.6535,5568.9,-0.001763899,7.560333333,9570.483333,0.010537454,-0.974713921,6.886916667,6241.391667,0.109349854,-0.961226596,0.023560209,-0.002617801
2018-01-09,2018,7.82,7.82,7.75,7.76,53,2751.29,0.061538462,96.1,3612,7.744,138.8,0.002066116,7.913,180.9,-0.019335271,7.6845,4980.3,0.009824972,7.567666667,9407.333333,0.025415143,-0.994366097,6.90925,6241.833333,0.123132033,-0.991508905,0.007731959,-0.00128866
2018-01-10,2018,7.87,7.87,7.87,7.87,0,2748.23,-0.015384615,95.65,3595,7.756,102.8,0.014698298,7.884,180.9,-0.001775748,7.718,3933.1,0.019694221,7.576166667,9289.783333,0.038783906,-1,6.932083333,6241.833333,0.135300835,-1,0,0
2018-01-11,2018,7.87,7.87,7.65,7.8,365,2767.56,-0.013157895,95.4,3586,7.766,134.8,0.004378058,7.85,173.4,-0.006369427,7.751,2763.7,0.006321765,7.5825,9120.55,0.028684471,-0.959980484,6.954166667,6244.875,0.121629718,-0.941552073,0.008974359,-0.019230769
2018-01-12,2018,7.81,7.81,7.75,7.84,67,2786.24,0.025423729,95.55,3598,7.782,145.4,0.007453097,7.816,151.1,0.003070624,7.7895,1873.1,0.006483086,7.583,8849.433333,0.0338916,-0.992428894,6.975833333,6245.433333,0.123880062,-0.989272162,-0.003826531,-0.011479592
2018-01-15,2018,7.83,7.83,7.73,7.78,202,2750.706582,-0.023809524,95.5,3608,7.81,137.4,-0.003841229,7.779,138.8,0.000128551,7.824,1001.2,-0.005623722,7.585166667,8567.516667,0.025686098,-0.976422573,6.997916667,6247.116667,0.111759452,-0.967665083,0.006426735,-0.006426735
